FighterName,ImageLink
Alice Ardelean,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/1/ARDELEAN_ALICE_R_07-27.png?itok=enYAQlsm
Austen Lane,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/LANE_AUSTEN_L_04-27.png?itok=g2XtDzGy
Robelis Despaigne,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/5/DESPAIGNE_ROBELIS_L_03-09.png?itok=y4TkK_z5
Brandon Royval,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/ROYVAL_BRANDON_L_10-12.png?itok=Sq8ZkR4_
Tatsuro Taira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/TAIRA_TATSURO_L_12-09.png?itok=T1FaNxuW
Brad Tavares,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/TAVARES_BRAD_L_10-12.png?itok=PFfvjsx2
JunYong Park,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-12/PARK_JUNYONG_L_12-09.png?itok=vA9roBIR
Chidi Njokuani,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/NJOKUANI_CHIDI_L.png?itok=qrXqI-dZ
Jared Gooden,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/3/GOODEN_JARED_L_05-11.png?itok=U8nO-Qbt
Grant Dawson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/DAWSON_GRANT_L_10-12.png?itok=XuvrTUSR
Rafa Garcia,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/GARCIA_RAFA_L_10-12.png?itok=k6dRYuaY
Daniel Rodriguez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/RODRIGUEZ_DANIEL_L_10-12.png?itok=5PxL0BAM
Alex Morono,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/MORONO_ALEX_L_10-12.png?itok=PYvPAhnU
CJ Vergara,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/VERGARA_CJ_L_10-12.png?itok=gvbltAAe
Ramazan Temirov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/TEMIROV_RAMAZAN_L_10-12.png?itok=2VOhqMJi
Jonathan Pearce,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/PEARCE_JONATHAN_L_10-12.png?itok=uTUmC3Pr
Pat Sabatini,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/SABATINI_PAT_L_10-12.png?itok=rvoW3lDD
Themba Gorimbo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/GORIMBO_THEMBA_L_10-12.png?itok=XnNJuZKf
Niko Price,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/PRICE_NIKO_L_06-01.png?itok=chooWOHY
Junior Tafa,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/TAFA_JUNIOR_L_10-12.png?itok=1dF0rxHS
Sean Sharaf,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/SHERAF_SEAN_L_10-12.png?itok=4Vnau0pc
Julia Polastri,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/POLASTRI_JULIA_L_10-12.png?itok=vDWb36MS
Cory McKenna,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/1/MCKENNA_CORY_L_03-16.png?itok=jf5EcvHk
Cody Haddon,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/HADDON_CODY_L_10-12.png?itok=xsGDWtk8
Clayton Carpenter,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/CARPENTER_CLAYTON_L_10-12.png?itok=fzS0Oc--
Lucas Rocha,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/ROCHA_LUCAS_L_10-12.png?itok=BClnQaVT
Alex Pereira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/PEREIRA_ALEX_L_BELT_10-05.png?itok=5O93_Ug3
Raquel Pennington,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/PENNINGTON_RAQUEL_L_01-20.png?itok=d8KSkx9r
Julianna Pena,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/PENA_JULIANNA_L_BELT_07-30.png?itok=scwJAL44
Jose Aldo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-12/1/ALDO_JOSE_L_10-05.png?itok=Ra-GU2zW
Mario Bautista,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/BAUTISTA_MARIO_L_01-13.png?itok=eUI85jN4
Roman Dolidze,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/DOLIDZE_ROMAN_L_10-05.png?itok=uEbykLBF
Kevin Holland,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-05/HOLLAND_KEVIN_L_06-01.png?itok=-aaMfA5t
Ketlen Vieira,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/VIEIRA_KETLEN_L_10-05.png?itok=z-Hw7nY8
Kayla Harrison,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/HARRISON_KAYLA_L_04-13.png?itok=GReSSv7D
Stephen Thompson,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/THOMPSON_STEPHEN_L_10-05.png?itok=ch3XR-Wj
Joaquin Buckley,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/BUCKLEY_JOAQUIN_L_05-11.png?itok=QqDSYA0D
Marina Rodriguez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/RODRIGUEZ_MARINA_L_10-05.png?itok=MYCZpmSE
Iasmin Lucindo,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/LUCINDO_IASMIN_L_04-22.png?itok=TgVbxs3h
Austin Hubbard,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/HUBBARD_AUSTIN_L_10-05.png?itok=lHFij6Cf
Alexander Hernandez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/HERNANDEZ_ALEXANDER_L_04-06.png?itok=dvpjDjLG
Ryan Spann,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/SPANN_RYAN_L_10-05.png?itok=2d3Yb3Ul
Carla Esparza,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/ESPARZA_CARLA_L_10-05.png?itok=Glk5zD8W
Tecia Pennington,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/3/PENNINGTON_TECIA_L_05-11.png?itok=XhE-8n-p
Court McGee,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/MCGEE_COURT_L_10-05.png?itok=Ps2R0nHs
Tim Means,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/MEANS_TIM_L_04-27.png?itok=3qS4onQK
Renato Moicano,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/MOICANO_RENATO_L_09-28.png?itok=pycfUkbx
Nassourdine Imavov,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/IMAVOV_NASSOURDINE_L_09-28.png?itok=tNMJ_VJc
Brendan Allen,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/ALLEN_BRENDAN_L_04-06.png?itok=7BIhOU1_
William Gomis,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/GOMIS_WILLIAM_L_09-28.png?itok=y12boaMH
Joanderson Brito,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-06/BRITO_JOANDERSON_L_07-01.png?itok=Eut2-Y7h
Kevin Jousset,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/JOUSSET_KEVIN_L_09-28.png?itok=2jUj7o-Z
Bryan Battle,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-03/BATTLE_BRYAN_L_03-16.png?itok=UhJpvRSl
Morgan Charriere,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/CHARRIERE_MORGAN_L_09-28.png?itok=gz8rxX8J
Gabriel Miranda,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-09/MIRANDA_GABRIEL_L_09-03.png?itok=A1-7Iw9y
Fares Ziam,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ZIAM_FARES_L_09-28.png?itok=QXWcjSDn
Matt Frevola,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-11/FREVOLA_MATT_L_11-11.png?itok=msHlF1sw
Ion Cutelaba,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/CUTELABA_ION_L_09-28.png?itok=TgkqtKXX
Ivan Erslan,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ERSLAN_IVAN_R_09-28.png?itok=KEM81scB
Oumar Sy,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/SY_OUMAR_L_09-28.png?itok=t2Vgwrqz
Ludovit Klein,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/KLEIN_LUDOVIT_L_09-28.png?itok=GMDcj0-5
Roosevelt Roberts,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ROBERTS_ROOSEVELT_L_11-11.png?itok=8PDoKIoj
Taylor Lapilus,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/LAPILUS_TAYLOR_L_09-28.png?itok=IloTp4AE
Vince Morales,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/MORALES_VINCE_L_05_16.png?itok=RT224iv6
Ailin Perez,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/PEREZ_AILIN_L_09-28.png?itok=vrxVIH9G
Daria Zhelezniakova,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/ZHELEZNIAKOVA_DARIA_L_03-23.png?itok=aJzhbXiS
